ï»¿CatÃ©gorie;Terme_de_recherche;Nombre_total_de_recherches;Nombre_total_de_recherches_uniques;;
Tout; Serge Bouchard;825;92;;
Tout; Nintendo Switch;591;47;;
Jeux VidÃ©o; Switch;501;32;;
Tout; Nora Roberts;481;31;;
Tout; Analyse Textuelle;439;1;;
Tout; Stephen King;439;47;;
Tout; Lucky Luke;430;52;;
Tout; Livre Audio;421;37;;
Tout; Marc Levy;412;51;;
Tout; Romans Sentimentaux;408;9;;
"Tout;"" Que Sais-Je? ;"";388;3;;"
Tout; Harry Potter;385;76;;
Tout; Lonely Planet Publications (Firme);376;3;;
Tout; Films D'horreur;375;3;;
Tout; Yoga;339;33;;
Jeux VidÃ©o; Nintendo Switch;329;31;;
Tout; Suicide Jeunes;329;1;;
Tout; James Patterson;320;26;;
Tout; Monstres Anglais;298;48;;
Tout; Europe;279;2;;
Tout; InterprÃ©tation RÃªves;275;1;;
Musique; Bach;273;1;;
Tout; Broderie;263;10;;
Livres; Serge Bouchard;258;26;;
Tout; Vampire;249;6;;
Tout; Partitions Piano;247;2;;
Tout; DVD;246;14;;
Livres; Michael Connelly;241;48;;
Tout; Switch;241;36;;
Livres; Monsters;233;1;;
Tout; Films D'horreur;232;10;;
Tout; Films Britanniques;227;3;;
Tout; Michael Connelly;227;40;;
Tout; Manga;225;32;;
Tout; Jeux VidÃ©o PlayStation 3;223;3;;
Tout; Histoire;219;8;;
Tout; Boris Cyrulnik;217;28;;
Musique; Wagner;211;2;;
Tout; Gestion Du Stress;210;15;;
Livres; Roman Fantasy;206;1;;
Tout; OcÃ©ans;205;3;;
Tout; Audiobook;203;3;;
Tout; Policier;198;4;;
Livres; The Art Of;196;2;;
Tout; PoÃ¨me;189;3;;
Tout; Ukulele;186;18;;
Tout; Louise Penny;184;28;;
Tout; Salinger;183;14;;
Tout; Lucky;181;30;;
Musique; Pink Floyd;180;17;;
Tout; Michel Tremblay;180;26;;
Tout; Patrick Senecal;179;35;;
Tout; Julia Quinn;178;35;;
Tout; Virginia Woolf;178;17;;
Tout; CathÃ©drales;176;1;;
Tout; Francois Hebert;168;1;;
Tout; Dictionnaire;167;5;;
All; James Patterson;163;7;;
Tout; William;162;1;;
Tout; Tarot;161;16;;
Tout; Les SoviÃ©tiques;160;3;;
Tout; La RÃ©vÃ©lation;159;1;;
Tout; Bertrand Tavernier;159;31;;
Tout;1984;157;42;;
Tout; MÃ©ditation;157;7;;
Tout; Harlan Coben;148;23;;
Tout; Ian Rankin;148;28;;
Tout; Arsene Lupin;146;14;;
Tout; Carte Topographique;144;3;;
Tout; Lisa Gardner;144;20;;
Tout; Agatha Christie;142;22;;
Tout; Tolkien;141;33;;
Musique; String Quartets;139;5;;
Musique; Scars;138;69;;
Tout; Pirates;138;7;;
Tout; Hal Leonard Guitar;137;1;;
Tout; Histoire De Chine;137;2;;
Tout; Python;137;16;;
Tout; Livres D'images;136;3;;
Tout; Frank Zappa;136;14;;
Tout; Romans QuÃ©bÃ©cois -- 20e SiÃ¨cle;135;2;;
Tout; Cookie;135;1;;
Tout; Criterion;135;9;;
Tout; Terrorisme;134;3;;
Tout; American Illustration;133;1;;
Tout; Couture;133;18;;
Tout; Eric Emmanuel Schmitt;133;14;;
Tout; Michel Jean;133;30;;
Tout; Roman;132;14;;
Tout; Romans Ãrotiques;131;6;;
Livres; Marc Levy;130;15;;
Tout; Croissance Personnelle;130;7;;
Accessibles en Ligne; Tueur en SÃ©rie;129;2;;
Tout; Chez-Nous en Nouvelle-France;127;1;;
NouveautÃ©s; Histoire;126;2;;
Tout; Chat;126;18;;
Tout; Haruki Murakami;126;16;;
Tout; Minecraft;125;17;;
Tout; Blu-Ray;124;10;;
Tout; Eyrolles;124;1;;
Tout; FÃ©lix Leclerc;124;2;;
Tout; Alger;123;1;;
Tout; Star Wars;123;16;;
Tout; Finances Personnelles;122;9;;
Tout; Chantal Thomas;122;33;;
Tout; Suicide;122;2;;
Tout; Art Therapy;121;5;;
Tout; Drames (Films);120;7;;
Tout; Films FranÃ§ais;120;7;;
Tout; Livres NumÃ©riques;120;38;;
Tout; Bande DessinÃ©e;120;12;;
Tout; Roman Historique;119;6;;
All; GaspÃ©;118;1;;
Livres; Histoire Art;118;1;;
All; Nintendo Switch;116;7;;
Tout; Pink Floyd;116;9;;
Tout; Jeux VidÃ©o PlayStation 4;115;18;;
Tout; Lovecraft;115;9;;
Tout; Richard Petit;115;7;;
Tout; Ken Follett;114;15;;
Tout; Tchaikovsky;114;2;;
Tout; Pokemon;113;20;;
Tout; Michel Onfray;112;13;;
Tout; Sociologie;111;1;;
Tout; Blu Ray;111;1;;
Tout; Ãrotisme;111;7;;
Tout; Simon Boulerice;111;20;;
Jeux VidÃ©o; Playstation 4;110;2;;
Tout; Mangas;109;5;;
Tout; Les Tuniques Bleues;109;7;;
Tout; PÃ©riodiques NumÃ©riques;109;2;;
Tout; SorciÃ¨re;109;4;;
Tout; Dragon Ball;108;17;;
Tout; Fanny Britt;108;21;;
Tout; Text Mining;108;5;;
Livres; Romans Historiques;107;1;;
Tout; Elena Ferrante;107;16;;
Tout; Haynes;107;3;;
Tout; Marvel;107;15;;
Tout; Pour Les Nuls;107;10;;
Tout; Tintin;107;15;;
Tout; Histoire Universelle;106;1;;
Tout; Roman Historique;106;4;;
Livres; Biographie;106;4;;
Livres; Hospitalisation;106;1;;
All; For Dummies;105;5;;
Tout; Tricot;105;15;;
Livres; John Grisham;104;21;;
Tout; Architecture;104;23;;
All; Crochet;103;4;;
Books; Novel;103;2;;
Musique; Beatles;103;7;;
Musique; Coffret;103;1;;
Tout; Femme en Nouvelle-France;103;1;;
Tout; LES BELLES LETTRES COLLECTION;103;1;;
Tout; Tourisme Europe;103;1;;
Tout; Pastorale;102;1;;
Musique; Neil Young;102;23;;
Tout; Livres Audio en Ligne en FranÃ§ais;102;1;;
Tout; Un CafÃ© Avec Marie;102;53;;
Tout; Films QuÃ©bÃ©cois;101;4;;
Tout; Histoires De Femmes;101;2;;
Tout; Enfants DÃ©veloppement;100;6;;
Tout; Jeux VidÃ©o Nintendo Switch;100;9;;
Tout; Canada Politique Et Gouvernement;100;1;;
Tout; Ãchec Scolaire;100;1;;
Musique; Rock Progressif;99;1;;
Tout; Delphine De Vigan;99;20;;
Musique; Miklos Rozsa;98;7;;
Tout; Guillaume Musso;98;18;;
Tout; L'atelier;98;1;;
Tout; David Goudreault;97;22;;
Tout; Tissage;96;6;;
All; Pokemon;95;4;;
Musique; Heart;95;5;;
Tout; AnxiÃ©tÃ©;95;13;;
Tout; Kim Thuy;95;25;;
Tout; Montessori;95;14;;
Tout; Hannah Arendt;94;11;;
Tout; Le Sablier;94;54;;
Tout; Mythologie Grecque;94;10;;
Tout; Patricia Cornwell;94;6;;
Tout; Performance;94;2;;
Tout; Zelda;94;15;;
Tout; Isabel Allende;93;15;;
Tout; Le Petit Prince;93;15;;
Tout; Psychologie Cognitive;93;1;;
Livres; Henri Vernes;92;1;;
Tout; John Grisham;92;15;;
Tout; Ken Follet;92;16;;
Tout; Nintendo;92;8;;
Online; Agatha Christie;91;10;;
Tout; Donna Leon;91;13;;
Tout; GÃ©nÃ©alogie;91;16;;
Tout; Naruto;91;22;;
Tout; Thomas Mann;91;4;;
Tout; Livres De Cuisine;90;8;;
Accessibles en Ligne; Psychopathologie;90;1;;
Tout; Potager;90;12;;
Tout; Vancouver;90;8;;
Jeux VidÃ©o; PlayStation 4;89;3;;
Musique; Chansons Francaises;89;1;;
Tout; ArsÃ¨ne Lupin;89;14;;
Tout; Camilla Lackberg;89;11;;
Tout; Sapiens;89;33;;
Tout; Essai;88;8;;
Tout; Lee Child;88;10;;
Tout; Patchwork;88;6;;
Tout; Films De Science-Fiction;87;3;;
All; Audiobooks;87;3;;
Tout; Danielle Steel;87;11;;
Tout; Espagnol;87;16;;
Tout; Gothique;87;1;;
Jeux VidÃ©o; Mario;86;17;;
Livres; Alexandre Dumas;86;3;;
Musique; Jethro Tull;86;8;;
Tout; Heavy Metal;86;3;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
