Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,19.02.2018,16.03.2018,GPC02180000150,75.00,,
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,14.02.2018,16.03.2018,GPC02180000151,75.00,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.02.2018,16.03.2018,GPC02180000152,57.37,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Cleaning,Cleaning & Janitorial  ,14.02.2018,16.03.2018,GPC02180000153,69.02,,
Stockport MBC,Services to People,Childrens & Educational Services,POUNDSTRETCHER 793,Catering Supplies,Catering Food & Beverages ,14.02.2018,16.03.2018,GPC02180000154,12.94,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.02.2018,16.03.2018,GPC02180000155,28.38,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.02.2018,16.03.2018,GPC02180000156,46.85,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,28.02.2018,16.03.2018,GPC02180000157,469.50,,
Stockport MBC,Services to People,Childrens & Educational Services,I W SUPPLIES,Furniture and Equipment,Furniture & Soft Furnishings  ,14.02.2018,16.03.2018,GPC02180000158,80.00,,
Stockport MBC,Services to People,Childrens & Educational Services,HOMEBASE LTD,Furniture and Equipment,Furniture & Soft Furnishings  ,14.02.2018,16.03.2018,GPC02180000159,132.89,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.CREDIT.TRADE.C,Furniture and Equipment,Furniture & Soft Furnishings  ,13.02.2018,16.03.2018,GPC02180000160,165.98,,
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Leasing /Transport Hire,Vehicle Management Leasing ,09.02.2018,16.03.2018,GPC02180000161,5.25,,
Stockport MBC,Services to People,Childrens & Educational Services,POYNTON STN TO,Leasing /Transport Hire,Vehicle Management Leasing ,08.02.2018,16.03.2018,GPC02180000162,5.25,,
Stockport MBC,Services to Place,Housing (General Fund) Services,CIEH,Staff Training,Human Resources  ,13.02.2018,16.03.2018,GPC02180000163,378.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,26.02.2018,16.03.2018,GPC02180000164,170.70,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.02.2018,16.03.2018,GPC02180000165,83.80,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM AVW3N6       0,Travelling Expenses,Human Resources Travel & Subsistence ,01.03.2018,16.03.2018,GPC02180000166,132.99,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.STOCKPORT.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,01.03.2018,16.03.2018,GPC02180000167,10.00,,
Stockport MBC,Services to People,Childrens & Educational Services,LANCASHIRE CC WEBSITE,Care Payments,Social Community Care Supplies & Services  ,26.02.2018,16.03.2018,GPC02180000168,-20.00,,
Stockport MBC,Services to People,Childrens & Educational Services,LANCASHIRE CC WEBSITE,Care Payments,Social Community Care Supplies & Services  ,26.02.2018,16.03.2018,GPC02180000169,20.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.02.2018,16.03.2018,GPC02180000170,50.00,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44537000,Staff Training,Human Resources  ,22.02.2018,16.03.2018,GPC02180000171,303.96,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,23.02.2018,16.03.2018,GPC02180000172,313.50,,
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,22.02.2018,16.03.2018,GPC02180000173,46.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,21.02.2018,16.03.2018,GPC02180000174,214.50,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,20.02.2018,16.03.2018,GPC02180000175,46.30,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,20.02.2018,16.03.2018,GPC02180000176,22.75,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEFSNV FSNVL9,Care Payments,Social Community Care Supplies & Services  ,20.02.2018,16.03.2018,GPC02180000177,255.99,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEFSP9 FSP98P,Care Payments,Social Community Care Supplies & Services  ,20.02.2018,16.03.2018,GPC02180000178,165.98,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEFSR7 FSR7KN,Care Payments,Social Community Care Supplies & Services  ,20.02.2018,16.03.2018,GPC02180000179,82.99,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEFSP9 FSP98P,Travelling Expenses,Human Resources Travel & Subsistence ,20.02.2018,16.03.2018,GPC02180000180,165.98,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAVELODGE GB0000,Care Payments,Social Community Care Supplies & Services  ,20.02.2018,16.03.2018,GPC02180000181,57.25,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEE2XR E2XRL5,Care Payments,Social Community Care Supplies & Services  ,16.02.2018,16.03.2018,GPC02180000182,289.98,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.02.2018,16.03.2018,GPC02180000183,291.50,,
Stockport MBC,Services to People,Childrens & Educational Services,EB  CONFERENCE-YORKSHI,Staff Training,Human Resources  ,15.02.2018,16.03.2018,GPC02180000184,55.20,,
Stockport MBC,Services to People,Childrens & Educational Services,JASON SQUIRES ONLINE,Staff Training,Human Resources  ,15.02.2018,16.03.2018,GPC02180000185,19.20,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,02.02.2018,16.03.2018,GPC02180000186,12.95,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM CJQ06C       0,Care Payments,Social Community Care Supplies & Services  ,02.02.2018,16.03.2018,GPC02180000187,317.99,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,26.02.2018,16.03.2018,GPC02180000188,-0.50,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,26.02.2018,16.03.2018,GPC02180000189,47.62,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,26.02.2018,16.03.2018,GPC02180000190,54.67,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,16.02.2018,16.03.2018,GPC02180000191,8.35,,
Stockport MBC,Services to People,Childrens & Educational Services,LIDL UK,Catering Supplies,Catering Food & Beverages ,14.02.2018,16.03.2018,GPC02180000192,5.31,,
Stockport MBC,Services to People,Childrens & Educational Services,SAINSBURYS 2051,Catering Supplies,Catering Food & Beverages ,13.02.2018,16.03.2018,GPC02180000193,14.05,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,12.02.2018,16.03.2018,GPC02180000194,46.70,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,12.02.2018,16.03.2018,GPC02180000195,60.62,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,05.02.2018,16.03.2018,GPC02180000196,79.37,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,05.02.2018,16.03.2018,GPC02180000197,70.71,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ICELAND.CO.UK,Catering Supplies,Catering Food & Beverages ,01.03.2018,16.03.2018,GPC02180000198,107.06,,
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Furniture and Equipment,Environmental Services Technical Equipment ,01.03.2018,16.03.2018,GPC02180000199,39.98,,
Stockport MBC,Services to People,Childrens & Educational Services,MEDISUPPLIES LTD,Furniture and Equipment,Environmental Services Technical Equipment ,28.02.2018,16.03.2018,GPC02180000200,21.63,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON DIGITAL SVCS,Publicity and Promotion,Arts & Leisure Services  ,28.02.2018,16.03.2018,GPC02180000201,3.99,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.TALKTALKBUSINESS.C,Information and Communications Technology,Information Communication Technology  ,27.02.2018,16.03.2018,GPC02180000202,20.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,26.02.2018,16.03.2018,GPC02180000203,116.75,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,26.02.2018,16.03.2018,GPC02180000204,12.99,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,25.02.2018,16.03.2018,GPC02180000205,9.35,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,25.02.2018,16.03.2018,GPC02180000206,115.09,,
Stockport MBC,Services to People,Childrens & Educational Services,B & Q 1279,Grounds Maintenance,Horticultural  ,25.02.2018,16.03.2018,GPC02180000207,60.00,,
Stockport MBC,Services to People,Childrens & Educational Services,NETFLIX.COM,Information and Communications Technology,Information Communication Technology  ,26.02.2018,16.03.2018,GPC02180000208,9.99,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,25.02.2018,16.03.2018,GPC02180000209,33.31,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,25.02.2018,16.03.2018,GPC02180000210,15.58,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.SANDCASTLE-WATERPA,Publicity and Promotion,Arts & Leisure Services  ,22.02.2018,16.03.2018,GPC02180000211,75.00,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.BLUEPLANETAQUARIUM,Publicity and Promotion,Arts & Leisure Services  ,22.02.2018,16.03.2018,GPC02180000212,69.34,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.PRINTERLAND.CO,Office Expenses,Stationery    ,20.02.2018,16.03.2018,GPC02180000213,308.04,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.PRINTERLAND.CO,Office Expenses,Stationery    ,21.02.2018,16.03.2018,GPC02180000214,79.48,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 5128,Catering Supplies,Catering Food & Beverages ,19.02.2018,16.03.2018,GPC02180000215,203.65,,
Stockport MBC,Services to People,Childrens & Educational Services,TALK TALK BUSINESS,Office Expenses,Stationery    ,20.02.2018,16.03.2018,GPC02180000216,58.14,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.CATERING-APPLIANCE,Furniture and Equipment,Environmental Services Technical Equipment ,20.02.2018,16.03.2018,GPC02180000217,39.41,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ZORO.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,20.02.2018,16.03.2018,GPC02180000218,19.07,,
Stockport MBC,Services to People,Childrens & Educational Services,B&M RETAIL,Furniture and Equipment,Furniture & Soft Furnishings  ,19.02.2018,16.03.2018,GPC02180000219,234.43,,
Stockport MBC,Services to People,Childrens & Educational Services,TALK TALK BUSINESS,Information and Communications Technology,Information Communication Technology  ,20.02.2018,16.03.2018,GPC02180000220,58.14,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Furniture & Soft Furnishings  ,19.02.2018,16.03.2018,GPC02180000221,13.84,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,19.02.2018,16.03.2018,GPC02180000222,58.71,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,17.02.2018,16.03.2018,GPC02180000223,168.79,,
Stockport MBC,Services to People,Childrens & Educational Services,HARRY RAMSDENS LTD-BLA,Publicity and Promotion,Arts & Leisure Services  ,19.02.2018,16.03.2018,GPC02180000224,38.03,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.BEACHHOUSEAGENCY.C,Library Equipment,Education Library Books ,16.02.2018,16.03.2018,GPC02180000225,27.20,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,16.02.2018,16.03.2018,GPC02180000226,31.96,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON DIGITAL VIDEO,Care Payments,Social Community Care Supplies & Services  ,18.02.2018,16.03.2018,GPC02180000227,2.49,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON DIGITAL VIDEO,Care Payments,Social Community Care Supplies & Services  ,18.02.2018,16.03.2018,GPC02180000228,3.49,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON DIGITAL VIDEO,Care Payments,Social Community Care Supplies & Services  ,18.02.2018,16.03.2018,GPC02180000229,3.49,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON DIGITAL VIDEO,Care Payments,Social Community Care Supplies & Services  ,18.02.2018,16.03.2018,GPC02180000230,2.49,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Furniture & Soft Furnishings  ,15.02.2018,16.03.2018,GPC02180000231,38.98,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Environmental Services Technical Equipment ,15.02.2018,16.03.2018,GPC02180000232,61.98,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Furniture & Soft Furnishings  ,13.02.2018,16.03.2018,GPC02180000233,116.97,,
Stockport MBC,Services to People,Childrens & Educational Services,B & Q 1279,Furniture and Equipment,Furniture & Soft Furnishings  ,13.02.2018,16.03.2018,GPC02180000234,53.87,,
Stockport MBC,Services to People,Childrens & Educational Services,B & Q 1162,Furniture and Equipment,Environmental Services Technical Equipment ,12.02.2018,16.03.2018,GPC02180000235,207.00,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.GROUPON.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,09.02.2018,16.03.2018,GPC02180000236,91.00,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.GROUPON.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,09.02.2018,16.03.2018,GPC02180000237,49.00,,
Stockport MBC,Services to People,Childrens & Educational Services,KICK AIR MANCHESTER,Publicity and Promotion,Arts & Leisure Services  ,09.02.2018,16.03.2018,GPC02180000238,50.00,,
Stockport MBC,Services to People,Childrens & Educational Services,WAYFAIR STORES LIM,Furniture and Equipment,Furniture & Soft Furnishings  ,11.02.2018,16.03.2018,GPC02180000239,144.97,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,11.02.2018,16.03.2018,GPC02180000240,244.34,,
Stockport MBC,Services to People,Childrens & Educational Services,CURRYS ONLINE,Office Expenses,Stationery    ,11.02.2018,16.03.2018,GPC02180000241,206.99,,
Stockport MBC,Services to People,Childrens & Educational Services,PARENTPAY E-COM R,Catering Supplies,Catering Food & Beverages ,08.02.2018,16.03.2018,GPC02180000242,15.00,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.TENPIN.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,06.02.2018,16.03.2018,GPC02180000243,32.45,,
Stockport MBC,Services to People,Childrens & Educational Services,SAFETYSHOP,Furniture and Equipment,Furniture & Soft Furnishings  ,05.02.2018,16.03.2018,GPC02180000244,25.20,,
Stockport MBC,Services to People,Childrens & Educational Services,B & Q 1205,Grounds Maintenance,Horticultural  ,04.02.2018,16.03.2018,GPC02180000245,202.80,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,04.02.2018,16.03.2018,GPC02180000246,117.29,,
Stockport MBC,Services to People,Adult Social Care,STOCKPORT NHS FOUNDATI,Mileage Claims /Allowances,Human Resources Travel & Subsistence ,16.02.2018,16.03.2018,GPC02180000247,3.50,,
Stockport MBC,Services to People,Adult Social Care,Q PARK PICCADILLY PLAC,Mileage Claims /Allowances,Human Resources Travel & Subsistence ,07.02.2018,16.03.2018,GPC02180000248,7.00,,
Stockport MBC,Services to Place,Cultural & Related Services,DOUBLE TREE BY HILTON,Expenses and Allowances,Human Resources Training & Conferences ,22.02.2018,16.03.2018,GPC02180000249,99.00,,
Stockport MBC,Services to Place,Cultural & Related Services,DOUBLE TREE BY HILTON,Expenses and Allowances,Human Resources Training & Conferences ,22.02.2018,16.03.2018,GPC02180000250,99.00,,
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,28.02.2018,16.03.2018,GPC02180000251,5.10,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,14.02.2018,16.03.2018,GPC02180000252,705.45,,
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB.COM  AQ5H3,Information and Communications Technology,Information Communication Technology  ,28.02.2018,16.03.2018,GPC02180000253,153.22,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,26.02.2018,16.03.2018,GPC02180000254,16.58,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AMAZON EU,Furniture and Equipment,Furniture & Soft Furnishings  ,15.02.2018,16.03.2018,GPC02180000255,18.28,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,13.02.2018,16.03.2018,GPC02180000256,8.93,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,13.02.2018,16.03.2018,GPC02180000257,41.74,,
Stockport MBC,Corporate and Support Services,Central Support Costs,WWWCONTENTFULCOM,Information and Communications Technology,Information Communication Technology  ,10.02.2018,16.03.2018,GPC02180000258,707.99,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.02.2018,16.03.2018,GPC02180000259,44.14,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AMAZON MKTPLACE PMTS,Information and Communications Technology,Information Communication Technology  ,03.02.2018,16.03.2018,GPC02180000260,664.84,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,AMAZON EU AMAZON.CO.UK,Library Equipment,Education Library Books ,20.02.2018,16.03.2018,GPC02180000261,10.99,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Furniture and Equipment,Furniture & Soft Furnishings  ,27.02.2018,16.03.2018,GPC02180000262,40.51,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Furniture and Equipment,Furniture & Soft Furnishings  ,27.02.2018,16.03.2018,GPC02180000263,182.73,,
Stockport MBC,Services to People,Childrens & Educational Services,CROSS COUNTRY TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,26.02.2018,16.03.2018,GPC02180000264,30.20,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Library Equipment,Education Library Books ,28.02.2018,16.03.2018,GPC02180000265,8.83,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,19.02.2018,16.03.2018,GPC02180000266,9.99,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Office Expenses,Stationery    ,15.02.2018,16.03.2018,GPC02180000267,54.18,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Library Equipment,Education Library Books ,14.02.2018,16.03.2018,GPC02180000268,30.92,,
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,01.03.2018,16.03.2018,GPC02180000269,112.48,,
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,05.02.2018,16.03.2018,GPC02180000270,334.51,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,28.02.2018,16.03.2018,GPC02180000271,226.40,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,21.02.2018,16.03.2018,GPC02180000272,24.85,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,19.02.2018,16.03.2018,GPC02180000273,227.35,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.02.2018,16.03.2018,GPC02180000274,61.50,,
Stockport MBC,Services to Place,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.02.2018,16.03.2018,GPC02180000275,52.50,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.02.2018,16.03.2018,GPC02180000276,28.25,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,22.02.2018,16.03.2018,GPC02180000277,165.10,,
Stockport MBC,Services to Place,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,16.02.2018,16.03.2018,GPC02180000278,69.50,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,16.02.2018,16.03.2018,GPC02180000279,495.90,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.02.2018,16.03.2018,GPC02180000280,105.30,,
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.02.2018,16.03.2018,GPC02180000281,173.30,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.02.2018,16.03.2018,GPC02180000282,36.90,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.02.2018,16.03.2018,GPC02180000283,69.00,,
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.02.2018,16.03.2018,GPC02180000284,171.50,,
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.02.2018,16.03.2018,GPC02180000285,100.00,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,13.02.2018,16.03.2018,GPC02180000286,97.50,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,13.02.2018,16.03.2018,GPC02180000287,295.20,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,HOTEL IBIS,Staff Training,Human Resources  ,13.02.2018,16.03.2018,GPC02180000288,141.55,,
Stockport MBC,Services to Place,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,12.02.2018,16.03.2018,GPC02180000289,102.50,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.02.2018,16.03.2018,GPC02180000290,26.05,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.02.2018,16.03.2018,GPC02180000291,191.20,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.02.2018,16.03.2018,GPC02180000292,124.20,,
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.02.2018,16.03.2018,GPC02180000293,19.25,,
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.02.2018,16.03.2018,GPC02180000294,8.25,,
Stockport MBC,Services to Place,Highways & Transport Services,VUE NCS CITB HS&E TEST,Staff Training,Human Resources  ,08.02.2018,16.03.2018,GPC02180000295,78.00,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.02.2018,16.03.2018,GPC02180000296,11.25,,
Stockport MBC,Services to Place,Highways & Transport Services,WWW.NECCONTRACT.COM,Staff Training,Human Resources  ,06.02.2018,16.03.2018,GPC02180000297,360.00,,
Stockport MBC,Services to Place,Highways & Transport Services,WWW.NECCONTRACT.COM,Staff Training,Human Resources  ,06.02.2018,16.03.2018,GPC02180000298,588.00,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,06.02.2018,16.03.2018,GPC02180000299,40.70,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,02.02.2018,16.03.2018,GPC02180000300,123.20,,
