UID,Client,Responsible Officer,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
650,Stockport Council,Phil Stephens,271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,Tender,Contract,10/10/2016,60,60,09/10/2021,Yes,09/10/2021,01/10/2020,"Â£13,487.00","Â£80,922.00",Public-I-Group Ltd,SME,3998680,BN3 1DD,Stockport- Corporate & Support Services
908,Stockport Council,Carla Cooke,151000-Consultancy : Business : ,Service Support for Business Incubator,OJEU Tender,Contract,01/09/2013,95,95,20/07/2021,,20/07/2021,01/01/2021,"Â£260,302.00","Â£2,082,416.00",Oxford Innovation Ltd,SME,2177191,OX1 1BY,Stockport- Corporate & Support Services
952,Stockport Council,Lewis Sinkala,321000Â  Social Community Care Supplies & Services - Adult,Supply of Complex Aids for Daily Living ,OJEU Tender,Contract,01/10/2015,30,54,31/03/2020,Yes,31/03/2020,10/01/2019,"Â£600,000.00","Â£2,700,000.00",Rosscare,SME,469301,CH44 7HX,Stockport- Services to People
1194,Stockport Council,Tim Kulewa,321100-Social Community Care Supplies & Services - Children :  ,Occupational and Speech Therapy,OJEU Tender,Contract,01/10/2016,34,46,31/08/2020,Yes,31/08/2020,01/12/2019,"Â£300,000.00","Â£1,200,000.00",Together Trust ,SME,301722,SK8 1JE ,Stockport- Services to People
1204,Stockport Council,Rachael Tither,321000Â  Social Community Care Supplies & Services - Adult,Targeted Prevention Alliance,OJEU Tender,Contract,01/06/2015,36,60,31/03/2021,Yes,31/03/2021,31/10/2020,"Â£1,500,000.00","Â£7,451,485.00",Stockport Homes ,Large,4521257,SK1 3NQ,Stockport- Services to People
1314,Stockport Council,Lewis Sinkala,321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 1 - Wellbeing and Indepenence at Home,OJEU Tender,Contract,01/10/2015,36,60,31/03/2021,Yes,31/03/2021,30/09/2020,"Â£300,000.00","Â£1,440,000.00",Age UK,SME,1139547,SK1 3AQ,Stockport- Services to People
1315,Stockport Council,Lewis Sinkala,321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 2 - Independent Living and Wellbeing in the Community,OJEU Tender,Contract,01/10/2015,36,60,31/03/2021,Yes,31/03/2021,30/09/2020,"Â£300,000.00","Â£1,440,000.00",Pure Innovations,SME,5241249,SK3 0RF,Stockport- Services to People
1316,Stockport Council,Lewis Sinkala,321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 3 - Wellbeing and Independence through Community Transport,OJEU Tender,Contract,01/10/2015,36,60,31/03/2021,Yes,31/03/2021,30/09/2020,"Â£120,000.00","Â£576,000.00",Stockport Car Scheme,SME,1091546,SK4 3LD,Stockport- Services to People
1367,Stockport Council,Gary Lee,201800-Financial Services : Insurance : ,Insurance Advisory and Broking Service,Call Off (External),Contract,01/01/2016,36,60,01/01/2021,,01/01/2021,01/08/2018,"Â£14,000.00","Â£70,000.00",Arthur J Gallagher ,Large,8887139,M3 5AG,Stockport- Corporate & Support Services
1378,Stockport Council,Shirella Simms,321000Â  Social Community Care Supplies & Services - Adult,Supported Living Services (103.7 - Phase 5),Mini Competition (Internal),Contract,01/12/2015,36,48,31/12/2020,No,31/12/2020,01/07/2018,"Â£214,766.76","Â£859,067.04",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
1578,Stockport Council,Rachael Tither,321000Â  Social Community Care Supplies & Services - Adult,Carer Support Service (Supporting MH Recovery),OJEU Tender,Contract,01/11/2015,29,53,31/10/2020,Yes,31/10/2020,31/08/2020,"Â£74,000.00","Â£369,999.67",Stockport & District Mind,VCSE,5879337,SK1 3NP,Stockport- Services to People
1579,Stockport Council,Shirella Simms,321000Â  Social Community Care Supplies & Services - Adult,LD Supported Living Contract (103.8 - Phase 6),Tender,Contract,09/05/2016,36,48,08/05/2020,Yes,08/05/2020,01/11/2019,"Â£320,924.25","Â£1,283,697.00",Fitzroy Support,VCSE,2699902,GU32 3JY,Stockport- Services to People
1580,Stockport Council,Rachael Tither,321000Â  Social Community Care Supplies & Services - Adult,Supported Employment,OJEU Tender,Contract,01/04/2016,36,60,31/03/2021,No,31/03/2021,01/11/2018,"Â£220,000.00","Â£1,100,000.00",Pure Innovations Limited,Medium,5241249,SK3 0RF,Stockport- Services to People
1606,Stockport Council,Tim Kulewa,321000Â  Social Community Care Supplies & Services - Adult,Day Care Services,OJEU Tender,Framework Agreement,01/04/2016,36,48,31/03/2020,Yes,31/03/2020,01/04/2019,"Â£1,100,000.00","Â£4,400,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
1606,Stockport Council,-,321000Â  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Altruistic Care t/a plane tree,SME,2916556,UB3 2RR,Stockport- Services to People
1606,Stockport Council,-,321000Â  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Disability Stockport,VCSE,1133529,SK1 1EG,Stockport- Services to People
1606,Stockport Council,-,321000Â  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Indian Senior Citizen Centre,SME,1040167,M16 8AB,Stockport- Services to People
1606,Stockport Council,-,321000Â  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Lifeline Project Ltd,SME,1842240,M1 1JF,Stockport- Services to People
1606,Stockport Council,-,321000Â  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,NAS Services Ltd,SME,269425,EC1V 1NG,Stockport- Services to People
1606,Stockport Council,-,321000Â  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Pure Innovations Limited ,Medium,5241249,SK3 0RF,Stockport- Services to People
1606,Stockport Council,-,321000Â  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Step Out Stockport,SME,8881836,SK1 3AQ,Stockport- Services to People
1606,Stockport Council,-,321000Â  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Stockport CP Society,SME,1009768,SK4 4JZ,Stockport- Services to People
1606,Stockport Council,-,321000Â  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,The Weekend Day Centre,SME,1009768,SK2 5EA,Stockport- Services to People
1606,Stockport Council,-,321000Â  Social Community Care Supplies & Services - Adult,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Together Trust ,SME,301722,SK8 1JE,Stockport- Services to People
2273,Stockport Council,Daniel Hart,340000-Stationery :  ,Stationery and Office Supplies,OJEU Tender,Framework Agreement,01/03/2017,24,48,28/02/2021,,28/02/2021,01/09/2018,"Â£250,000.00","Â£1,000,000.00",Lyreco UK Limited,SME,442696,TF2 7NB,Stockport- Corporate & Support Services
2304,Stockport Council,Phil Stephens,271510-Information Communication Technology : Services : Application Service Provision,Provision of an Education Management Information and Case Management System ,OJEU Tender,Contract,01/04/2016,60,108,31/03/2021,No,31/03/2025,01/10/2020,"Â£108,996.05","Â£980,964.45",Tribal Education Limited,Large,4163300,BS2 0HQ,Stockport- Corporate & Support Services
2329,Stockport Council,Carla Cooke,261100-Human Resources : Interpretation & Translation : ,British Sign Language,Tender,Contract,01/05/2017,36,48,30/04/2021,Yes,30/04/2021,01/01/2020,"Â£12,500.00","Â£50,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
2329,Stockport Council,-,261100-Human Resources : Interpretation & Translation : ,British Sign Language,-,-,-,-,-,-,-,-,-,-,-,Action on Hearing Loss ,Large,207720,EC1Y 8SL,Stockport- Services to People
2329,Stockport Council,-,261100-Human Resources : Interpretation & Translation : ,British Sign Language,-,-,-,-,-,-,-,-,-,-,-,Manchester Deaf School ,Large,1110373,M13 9GH,Stockport- Services to People
2333,Stockport Council,Carla Cooke,191200-Facilities & Management Services : Document Archiving & Storage : ,Off Site Storage ,OJEU Tender,Contract,01/06/2017,36,60,31/05/2022,Yes,31/05/2022,31/05/2019,"Â£10,069.00","Â£50,346.00",DataSpace UK Limited,Small,3816685,CW9 6GB,Stockport- Corporate & Support Services
3033,Stockport Council,Shirella Simms,321000Â  Social Community Care Supplies & Services - Adult,Supported Living Services (103.9 - Phase 7),Mini Competition (Internal),Contract,01/08/2016,36,48,31/07/2020,Yes,31/07/2020,31/07/2019,"Â£355,887.62","Â£1,423,550.48",Royal Mencap Society,VCSE,550457 comp no  222377 charity,EC1Y 0RT,Stockport- Services to People
3078,Stockport Council,Shirella Simms,321000Â  Social Community Care Supplies & Services - Adult,Supported Living Services (103.10 - Phase 8),Tender,Contract,16/01/2017,36,48,15/01/2021,Yes,15/01/2021,01/09/2020,"Â£880,584.00","Â£3,522,336.00",Royal Mencap  ,VCSE,"550457
222377",M16 9HU,Stockport- Services to People
3110,Stockport Council,Tim Kulewa,321100-Social Community Care Supplies & Services - Children :  ,Independent Travel Training 2016 - Stockport,Tender,Contract,01/09/2016,24,36,31/08/2020,Yes,31/08/2020,31/03/2019,"Â£130,000.00","Â£390,000.00",Pure Innovations Limited,Medium,5241249,SK3 0RF,Stockport- Services to People
3163,Stockport Council,Justina Woo-Swirad,151514-Healthcare : Public Health : Specialist Services,TENDER FOR THE PROVISION OF COMMUNITY BASED LIFESTYLE SERVICES,OJEU Tender,Contract,01/10/2016,48,72,30/09/2020,No,30/09/2022,01/09/2018,"Â£914,993.00","Â£5,489,958.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
3163,Stockport Council,-,151514-Healthcare : Public Health : Specialist Services,TENDER FOR THE PROVISION OF COMMUNITY BASED LIFESTYLE SERVICES,-,-,-,-,-,-,-,-,-,-,-,ABL HEALTH LIMITED,Medium,7074944,BL4 0JL ,Stockport- Services to People
3163,Stockport Council,-,151514-Healthcare : Public Health : Specialist Services,TENDER FOR THE PROVISION OF COMMUNITY BASED LIFESTYLE SERVICES,-,-,-,-,-,-,-,-,-,-,-,STOCKPORT SPORTS TRUST t/a LIFE LEISURE,Large,4304674,SK8 7BS   ,Stockport- Services to People
3169,Stockport Council,Justina Woo-Swirad,310000-Healthcare :  ,"Sexual and Reproductive Health Services for the boroughs of Stockport, Tameside & Trafford",OJEU Tender,Contract,16/09/2016,55,55,31/03/2021,Yes,31/03/2021,01/10/2018,"Â£1,652,313.00","Â£7,435,408.50",Central Manchester University Hospitals NHS Foundation Trust,NHS,1049274,M13 0ZY,Stockport- Corporate & Support Services
3181,Stockport Council,Gary Lee,379999-Utilities : Not Elsewhere Classified : ,"Water, Waste Water, and Ancillary Services",Local Services,Contract,01/04/1974,539,539,30/06/2020,,30/06/2019,,"Â£1,973,000.00","Â£84,674,583.33",Water Plus,Large,4141390,ST1 4FD ,Stockport- Corporate & Support Services
3184,Stockport Council,Phil Stephens,271699-Information Communication Technology : Telecommunications : ,Unified Communications,Mini Competition (External),Contract,06/04/2017,36,60,05/04/2020,No,05/04/2022,01/06/2019,"Â£69,973.94","Â£500,895.25",Virgin Media Business,Large,1785381,S98 1HS,Stockport- Corporate & Support Services
3189,Stockport Council,Michael Sellors,209999-Financial Services : Not Elsewhere Classified : ,Early Payment Scheme - Early payment of suppliers ,Call Off (Internal),Concession,05/04/2019,60,60,04/04/2024,,04/04/2024,01/04/2022,Income,Income,Oxygen Finance Limited,Large,5288899,B2 5QB,Stockport- Corporate & Support Services
3233,Stockport Council,Michael Crook,271510-Information Communication Technology : Services : Application Service Provision,Social Care Case Management System,Call Off (External),Contract,01/12/2017,48,96,30/11/2021,No,30/11/2025,30/11/2020,"Â£93,149.00","Â£1,446,773.00","Liquidlogic Ltd

",Large,40006349,ME14 1RF,Stockport- Services to People
3238,Stockport Council,Phil Stephens,271300-Information Communication Technology : Services : Maintenance & Support,The Chest eProcurement Portal,Call Off (External),contract,01/08/2015,48,96,31/07/2023,Yes,31/07/2023,06/12/2021,"Â£2,250.00","Â£18,000.00",Proactis,SME,3182974,LS22 6LE,Stockport- Corporate & Support Services
3296,Stockport Council,Gary Lee,269999-Human Resources : Not Elsewhere Classified : ,Home Electronics Salary Sacrifice Scheme ,Call Off (External),Contract,01/10/2016,48,48,30/09/2020,,30/09/2020,01/07/2019,"Â£350,000.00","Â£1,400,000.00",Northumbria Healthcare NHS Foundation Trust,NHS,Supplier does not have company number,NE27 0QJ,Stockport- Corporate & Support Services
3316,Stockport Council,Gary Lee,261600-Human Resources : Travel & Subsistence : ,Travel Rail Scheme ,Exemption,Contract,10/08/2016,48,48,09/08/2020,,09/08/2020,01/04/2019,"Â£158,000.00","Â£632,000.00",Northern Rail,Large,4619954,YO1 6HZ,Stockport- Corporate & Support Services
3317,Stockport Council,Gary Lee,261600-Human Resources : Travel & Subsistence : ,Travel Bus Scheme ,Exemption,Contract,10/08/2016,48,48,09/08/2020,,09/08/2020,01/04/2019,"Â£316,800.00","Â£1,267,200.00",Stagecoach,Large,3092390,SK3 0DU,Stockport- Corporate & Support Services
3345,Stockport Council,Carla Cooke,201300-Financial Services : Cash Collection : ,Cash Collection and Banking (Parking) ,OJEU Tender,Contract,01/11/2017,36,72,31/10/2020,No,31/10/2023,01/08/2019,"Â£161,000.00","Â£483,000.00",NSL Ltd,Medium,6033060,SL1 2BE,Stockport- Corporate & Support Services
3389,Stockport Council,Michael Sellors,321100-Social Community Care Supplies & Services - Children :  ,Adoption Support FPS,OJEU Tender,DPS (Dynamic Purchasing System),25/10/2017,48,48,24/10/2021,No,24/10/2021,24/10/2020,"Â£11,250,000.00","Â£45,000,000.00",Approved supplier list maintained by the Council. Contact STAR Procurement for further details,,,,Stockport- Services to People
3397,Stockport Council,Michael Crook,191100-Facilities & Management Services : Design & Photography : ,12 x bespoke images for use on banners and in promotional campaigns related to Stopfordia exhibition,Exemption,Contract,15/09/2016,120,120,14/09/2026,No,14/09/2026,01/04/2021,"Â£10,000.00","Â£10,000.00",Redacted,Sole Trader,Redacted,Redacted,Stockport- Corporate & Support Services
3416,Stockport Council,Stephanie Jones,171111-Education : Audio Visual : ,GM Libraries eBooks and eAudiobooks ,Call Off (External),Contract,01/06/2017,46,70,31/03/2021,No,31/03/2023,25/04/2019,"Â£21,500.00","Â£129,000.00",Bolinda UK Ltd,Large,5086231,RG14 2PZ,Stockport- Services to People
3429,Stockport Council,Michael Halsall,201200-Financial Services : Banking : ,Stockport Bill Payment Service,Call Off (External),Contract,01/07/2017,24,48,30/06/2020,No,30/06/2021,02/01/2020,"Â£100,000.00","Â£400,000.00",allPay,Large,2933191,HR1 3SE,Stockport- Corporate & Support Services
3439,Stockport Council,Shirella Simms,321000Â  Social Community Care Supplies & Services - Adult,Supported Living Services (103.11 - Phase 9),Tender,Contract,10/04/2017,36,48,09/04/2020,No,09/04/2021,01/09/2019,"Â£1,262,143.00","Â£5,048,572.00",Creative Support,SME,27440R,SK1 3TS,Stockport- Services to People
3444,Stockport Council,Justina Woo-Swirad,151514-Healthcare : Public Health : Specialist Services,Stockport Provision of Community Based Adult Drug and Alcohol Services,OJEU Tender,Contract,01/10/2015,60,84,30/09/2020,No,30/09/2022,01/10/2020,"Â£1,605,000.00","Â£11,235,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
3444,Stockport Council,-,151514-Healthcare : Public Health : Specialist Services,Stockport Provision of Community Based Adult Drug and Alcohol Services,-,-,-,-,-,-,-,-,-,-,-,"CGL (CHANGE, GROW, LIVE)",SME,3861209,BN1 1YR,Stockport- Services to People
3444,Stockport Council,-,151514-Healthcare : Public Health : Specialist Services,Stockport Provision of Community Based Adult Drug and Alcohol Services,-,-,-,-,-,-,-,-,-,-,-,Pennine Care NHS Foundation Trust,NHS,8436885,OL6 7SR,Stockport- Services to People
3494,Stockport Council,Phil Stephens,271300-Information Communication Technology : Services : Maintenance & Support,ITSM Case Management System,Exemption,Contract,01/10/2016,48,48,30/09/2020,,30/09/2020,01/04/2020,"Â£16,235.00","Â£64,705.00",Freshservice,Large,9338697,W1F 9PP,Stockport- Corporate & Support Services
3516,Stockport Council,Justina Woo-Swirad,151514-Healthcare : Public Health : Specialist Services,Toxicology Services Framework,OJEU Tender (Light Touch),Framework Agreement,21/01/2019,48,48,22/01/2023,No,22/01/2023,10/01/2022,"Â£604,000.00","Â£604,000.00",Sheffield Teaching Hospitals NHS Foundation Trust,NHS,232608476,S5 7AU,Stockport- Services to People
3522,Stockport Council,Carla Cooke,201300-Financial Services : Cash Collection : ,Cash Collection  ,Call Off (External),Framework Agreement,01/08/2017,29,41,31/12/2019,Yes,31/12/2020,01/07/2020,"Â£27,200.00","Â£92,933.00",Security Plus ,Medium,1325489,ST14 7TQ,Stockport- Corporate & Support Services
3645,Stockport Council,Gary Lee,201800-Financial Services : Insurance : ,"Insurance: Lot 1: Property Related, Lot 2: Property Owners, Lot 7: Motor - SMBS/SSK, Lot 8: Motor - SHL), Lot 9: Personal Accident, Lot 10: Engineering Combined, & Lot 11: Crime (FG)",OJEU Tender,Contract,01/12/2017,36,60,30/11/2020,No,29/11/2022,11/01/2019,"Â£589,442.21","Â£2,947,211.05",Zurich Insurance plc (UK Branch) t/a Zurich Municipal,Large,BR07985,PO15 7JZ,Stockport- Corporate & Support Services
3694,Stockport Council,Phil Stephens,271699-Information Communication Technology : Telecommunications : ,Mobile and Voice Data Aggregation (NFC60),Mini Competition (External),Contract,04/01/2017,36,60,04/01/2022,Yes,04/01/2022,01/01/2019,"Â£96,229.79","Â£481,148.95",Everything Everywhere (EE),Large,2382161,AL10 9BW,Stockport- Corporate & Support Services
3704,Stockport Council,Shirella Simms,321000Â  Social Community Care Supplies & Services - Adult,LD Supported Living Service (103.12 - phase 10),Call Off (Internal),Contract,03/07/2017,36,48,02/07/2020,No,02/07/2021,01/01/2020,"Â£610,017.00","Â£1,807,300.00",Creative Support,SME,27440R,SK1 3TS,Stockport- Services to People
3726,Stockport Council,Liam Gilmore,201200-Financial Services : Banking : ,Pre Payment Cards ,Call Off (External),Contract,01/08/2017,36,48,31/07/2020,No,31/07/2021,31/07/2019,"Â£12,990.00","Â£45,000.00",Pre Paid Financial  Services,Large,6337638,W1B 3AT,Stockport- Corporate & Support Services
3822,Stockport Council,Gary Lee,261400-Human Resources : Temporary & Agency Staff : ,Agency and Interim Arrangements,Mini Competition (External),Contract,20/12/2016,37,49,28/01/2020,Yes,28/01/2021,28/01/2018,"Â£1,400,000.00","Â£5,600,000.00",Reed Specialist Recruitment Limited,Large,6903140,WC2A 1DT,Stockport- Services to People
3915,Stockport Council,Michael Halsall,271501-Information Communication Technology : Services : ,Revenues & Benefits Outbound Mail Services,Call Off (External),Contract,01/10/2017,24,48,30/09/2021,Yes,30/09/2021,01/11/2018,"Â£104,012.00","Â£208,024.00",DSI Billing,Medium,3823171,RM9 6BF,Stockport- Corporate & Support Services
3924,Stockport Council,Gary Lee,159999-Consultancy : Not Elsewhere Classified : ,AGMA: Civil and Structural Engineering Framework,OJEU Tender,Framework Agreement,18/10/2018,24,48,12/09/2020,No,12/09/2022,18/10/2019,"Â£4,280,000.00","Â£17,120,000,00",See Supplier Tab,See Supplier Tab,See Supplier Tab,See Supplier Tab,Stockport- Services to Place
3924,Stockport Council,-,159999-Consultancy : Not Elsewhere Classified : ,AGMA: Civil and Structural Engineering Framework,-,-,-,-,-,-,-,-,-,-,-,AECOM,Large ,1846493,SW19 4DR,Stockport- Services to Place
3924,Stockport Council,-,159999-Consultancy : Not Elsewhere Classified : ,AGMA: Civil and Structural Engineering Framework,-,-,-,-,-,-,-,-,-,-,-,Wilde Consultants Ltd,SME,2603960,SK1 3HS,Stockport- Services to Place
3924,Stockport Council,-,159999-Consultancy : Not Elsewhere Classified : ,AGMA: Civil and Structural Engineering Framework,-,-,-,-,-,-,-,-,-,-,-,Mott MacDonald Ltd,Large ,1243967,CR0 2EE,Stockport- Services to Place
3924,Stockport Council,-,159999-Consultancy : Not Elsewhere Classified : ,AGMA: Civil and Structural Engineering Framework,-,-,-,-,-,-,-,-,-,-,-,Pell Frischmann Consultants Ltd,Large ,1777946,W1U 3PD,Stockport- Services to Place
3924,Stockport Council,-,159999-Consultancy : Not Elsewhere Classified : ,AGMA: Civil and Structural Engineering Framework,-,-,-,-,-,-,-,-,-,-,-,Clancy Consulting Ltd,SME,3693529,WA14 4NX,Stockport- Services to Place
3924,Stockport Council,-,159999-Consultancy : Not Elsewhere Classified : ,AGMA: Civil and Structural Engineering Framework,-,-,-,-,-,-,-,-,-,-,-,SANDERSON WATTS ASSOCIATES,SME,4107494,WN3 4HG,Stockport- Services to Place
3924,Stockport Council,-,159999-Consultancy : Not Elsewhere Classified : ,AGMA: Civil and Structural Engineering Framework,-,-,-,-,-,-,-,-,-,-,-,Local Transport Projects Ltd,SME,5295328,HU17 0NW,Stockport- Services to Place
3924,Stockport Council,-,159999-Consultancy : Not Elsewhere Classified : ,AGMA: Civil and Structural Engineering Framework,-,-,-,-,-,-,-,-,-,-,-,Atkins Limited,Large ,688424,KT18 5BW,Stockport- Services to Place
4017,Stockport Council,Phil Stephens,271400-Information Communication Technology : Office & Reprographics Equipment : ,Multi-functional devices (MFDÂs) ,Mini Competition (External),Contract,18/11/2017,60,84,17/11/2022,No,17/11/2024,01/04/2022,"Â£215,000.00","Â£1,505,000.00",Xerox (UK) Ltd,Large,330754,UB8 1HS,Stockport- Corporate & Support Services
4091,Stockport Council,Tim Kulewa,401603-Social Community Care Supplies & Services - Children : Youth Services : Transition Between Children & Adults,Appropriate Adult Service,Tender,Contract,01/06/2018,34,58,31/03/2021,No,31/03/2023,01/12/2020,-,-,Child Action North West,SME,820660,BB1 9LL,Stockport- Services to People
4096,Stockport Council,Peter Walpole,111200-Catering : Food & Beverages : ,Provision of Catering Services to Stockport Metropolitan Council,OJEU Tender,Contract,01/10/2019,36,48,30/09/2022,No,30/09/2023,01/10/2021,"Â£122,202.00","Â£488,808.00",Mosaic Event Catering Ltd,Small,10709043,SK7 3NX,Stockport- Corporate & Support Services
4143,Stockport Council,Liam Gilmore,271440-Information Communication Technology : Software : ,Job Evaluation Software,Exemption,Contract,16/09/2017,36,36,15/09/2020,,15/09/2020,14/06/2020,"Â£12,620.00","Â£37,860.00",Northgate Human Resources (Northgate Arinso UK Ltd),Large,1587537,HP2 4NW,Stockport- Services to People
4147,Stockport Council,Michael crook,271501-Information Communication Technology : Services : ,OPENChannel Suite plus OPENPortal (API's),Exemption,Contract,02/03/2018,60,60,01/03/2023,No,30/09/2018,01/01/2023,"Â£12,750.00","Â£63,750.00",Civica UK Ltd,Large,1628868,SW15 6AR,Stockport- Services to Place
4150,Stockport Council,Gary Lee,129999-Cemetery & Crematorium : Not Elsewhere Classified : ,Mortuary and Post Mortem Services,Exemption,Contract,29/09/2017,36,132,28/09/2020,No,28/09/2028,28/06/2020,"Â£1,074,014.00","Â£11,814,154.00",Tameside General Hospital (Tameside & Glossop NHS Foundation Trust),NHS,Trust - Not Required,OL6 9RW ,Stockport- Corporate & Support Services
4159,Stockport Council,Liam Gilmore,271440-Information Communication Technology : Software : ,Taxi Driver Online Knowledge Test,Quote,Contract,01/10/2017,12,48,30/09/2021,Yes,30/09/2021,01/06/2021,"Â£12,000.00","Â£48,000.00",Personnel Checks Limited,medium,8101751,BB1 1FB,Stockport- Services to People
4170,Stockport Council,Michael Halsall,121300-Cemetery & Crematorium : Body Transport Service : ,Coroners' Body Removal Service (West and City Coronial Districts),OJEU Tender,Framework Agreement,01/04/2018,48,48,31/03/2022,,31/03/2022,31/03/2021,"Â£305,970.00","Â£1,223,880.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Corporate & Support Services
4170,Stockport Council,-,121300-Cemetery & Crematorium : Body Transport Service : ,Coroners' Body Removal Service (West and City Coronial Districts),-,-,-,-,-,-,-,-,-,-,-,Kane funeral service,SME,10703888,WA10 2JJ,Stockport- Corporate & Support Services
