Sex,Age group,Activity,Time spent,UOM
Males,13 years,Play computer games,Less than 1 hour,Percent
Males,13 years,Watch VCR movies,4 to 6 hours,Percent
Females,13 years,Play computer games,10 hours or more,Percent
Females,13 years,Watch VCR movies,4 to 6 hours,Percent
Males,13 years,Watch VCR movies,4 to 6 hours,Percent
Females,13 years,Play computer games,1 to 3 hours,Percent
Females,13 years,Watch VCR movies,Less than 1 hour,Percent
Males,11 years,Watch VCR movies,7 to 9 hours,Percent
Females,15 years,Play computer games,10 hours or more,Percent
Females,15 years,Play computer games,1 to 3 hours,Percent
Males,13 years,Play computer games,10 hours or more,Percent
Males,15 years,Play computer games,4 to 6 hours,Percent
Females,11 years,Watch VCR movies,1 to 3 hours,Percent
Males,15 years,Watch VCR movies,1 to 3 hours,Percent
Females,11 years,Watch VCR movies,1 to 3 hours,Percent
Females,11 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,Less than 1 hour,Percent
Males,13 years,Play computer games,7 to 9 hours,Percent
Females,11 years,Play computer games,7 to 9 hours,Percent
Males,15 years,Watch VCR movies,Not at all,Percent
Females,13 years,Watch VCR movies,Less than 1 hour,Percent
Males,11 years,Play computer games,Less than 1 hour,Percent
Males,13 years,Play computer games,Less than 1 hour,Percent
Females,11 years,Play computer games,Less than 1 hour,Percent
Females,11 years,Watch VCR movies,1 to 3 hours,Percent
Males,13 years,Watch VCR movies,10 hours or more,Percent
Females,15 years,Watch VCR movies,4 to 6 hours,Percent
Males,11 years,Watch VCR movies,1 to 3 hours,Percent
Males,15 years,Play computer games,Less than 1 hour,Percent
Males,11 years,Watch VCR movies,4 to 6 hours,Percent
Females,11 years,Watch VCR movies,Less than 1 hour,Percent
Males,15 years,Watch VCR movies,4 to 6 hours,Percent
Females,13 years,Watch VCR movies,10 hours or more,Percent
Females,11 years,Watch VCR movies,Not at all,Percent
Females,15 years,Play computer games,Less than 1 hour,Percent
Females,15 years,Watch VCR movies,10 hours or more,Percent
Males,11 years,Watch VCR movies,10 hours or more,Percent
Males,13 years,Play computer games,7 to 9 hours,Percent
Females,13 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,Less than 1 hour,Percent
Females,11 years,Watch VCR movies,10 hours or more,Percent
Males,11 years,Watch VCR movies,10 hours or more,Percent
Females,15 years,Play computer games,Less than 1 hour,Percent
Females,13 years,Play computer games,4 to 6 hours,Percent
Males,13 years,Play computer games,Less than 1 hour,Percent
Females,11 years,Watch VCR movies,Less than 1 hour,Percent
Males,11 years,Play computer games,Less than 1 hour,Percent
Females,11 years,Watch VCR movies,Less than 1 hour,Percent
Males,13 years,Play computer games,1 to 3 hours,Percent
Males,11 years,Play computer games,1 to 3 hours,Percent
Females,15 years,Watch VCR movies,4 to 6 hours,Percent
Males,15 years,Play computer games,4 to 6 hours,Percent
Males,13 years,Watch VCR movies,10 hours or more,Percent
Males,13 years,Watch VCR movies,4 to 6 hours,Percent
Females,11 years,Play computer games,10 hours or more,Percent
Males,15 years,Play computer games,1 to 3 hours,Percent
Females,13 years,Watch VCR movies,4 to 6 hours,Percent
Females,15 years,Play computer games,1 to 3 hours,Percent
Males,15 years,Watch VCR movies,7 to 9 hours,Percent
Males,15 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,Not at all,Percent
Females,13 years,Watch VCR movies,1 to 3 hours,Percent
Females,11 years,Watch VCR movies,10 hours or more,Percent
Males,11 years,Watch VCR movies,10 hours or more,Percent
Females,13 years,Watch VCR movies,Less than 1 hour,Percent
Females,11 years,Play computer games,10 hours or more,Percent
Females,11 years,Watch VCR movies,7 to 9 hours,Percent
Females,11 years,Watch VCR movies,4 to 6 hours,Percent
Males,13 years,Watch VCR movies,Not at all,Percent
Females,15 years,Watch VCR movies,Not at all,Percent
Males,15 years,Play computer games,10 hours or more,Percent
Females,15 years,Watch VCR movies,1 to 3 hours,Percent
Females,15 years,Watch VCR movies,1 to 3 hours,Percent
Females,15 years,Play computer games,Less than 1 hour,Percent
Females,11 years,Watch VCR movies,4 to 6 hours,Percent
Females,15 years,Play computer games,Not at all,Percent
Males,15 years,Play computer games,4 to 6 hours,Percent
Females,15 years,Play computer games,1 to 3 hours,Percent
Males,13 years,Watch VCR movies,Not at all,Percent
Males,11 years,Watch VCR movies,Less than 1 hour,Percent
Males,13 years,Watch VCR movies,Not at all,Percent
Females,13 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Play computer games,Not at all,Percent
Males,11 years,Play computer games,10 hours or more,Percent
Females,15 years,Play computer games,1 to 3 hours,Percent
Females,11 years,Play computer games,4 to 6 hours,Percent
Males,13 years,Watch VCR movies,10 hours or more,Percent
Males,13 years,Watch VCR movies,10 hours or more,Percent
Males,13 years,Play computer games,1 to 3 hours,Percent
Males,11 years,Play computer games,Less than 1 hour,Percent
Males,13 years,Watch VCR movies,7 to 9 hours,Percent
Females,13 years,Watch VCR movies,7 to 9 hours,Percent
Males,13 years,Watch VCR movies,Less than 1 hour,Percent
Females,11 years,Watch VCR movies,Less than 1 hour,Percent
Females,15 years,Play computer games,10 hours or more,Percent
Females,13 years,Play computer games,4 to 6 hours,Percent
Females,11 years,Watch VCR movies,1 to 3 hours,Percent
Females,13 years,Play computer games,Not at all,Percent
Males,13 years,Watch VCR movies,Less than 1 hour,Percent
Males,13 years,Play computer games,10 hours or more,Percent
Females,11 years,Watch VCR movies,1 to 3 hours,Percent
Males,13 years,Play computer games,7 to 9 hours,Percent
Females,11 years,Play computer games,4 to 6 hours,Percent
Males,11 years,Play computer games,Less than 1 hour,Percent
Males,11 years,Play computer games,7 to 9 hours,Percent
Females,15 years,Watch VCR movies,Not at all,Percent
Females,11 years,Watch VCR movies,1 to 3 hours,Percent
Males,13 years,Watch VCR movies,4 to 6 hours,Percent
Males,15 years,Play computer games,Not at all,Percent
Males,11 years,Watch VCR movies,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,Not at all,Percent
Males,15 years,Play computer games,Not at all,Percent
Females,11 years,Play computer games,1 to 3 hours,Percent
Males,13 years,Watch VCR movies,Less than 1 hour,Percent
Females,13 years,Play computer games,4 to 6 hours,Percent
Males,11 years,Play computer games,7 to 9 hours,Percent
Males,15 years,Watch VCR movies,4 to 6 hours,Percent
Males,11 years,Play computer games,7 to 9 hours,Percent
Males,13 years,Watch VCR movies,Not at all,Percent
Females,11 years,Watch VCR movies,1 to 3 hours,Percent
Females,15 years,Watch VCR movies,1 to 3 hours,Percent
Males,11 years,Watch VCR movies,10 hours or more,Percent
Females,13 years,Watch VCR movies,Not at all,Percent
Females,11 years,Play computer games,7 to 9 hours,Percent
Males,13 years,Watch VCR movies,1 to 3 hours,Percent
Females,11 years,Play computer games,7 to 9 hours,Percent
Females,11 years,Play computer games,Less than 1 hour,Percent
Females,13 years,Play computer games,Less than 1 hour,Percent
Females,13 years,Play computer games,7 to 9 hours,Percent
Males,13 years,Play computer games,4 to 6 hours,Percent
Females,11 years,Watch VCR movies,4 to 6 hours,Percent
Males,11 years,Play computer games,7 to 9 hours,Percent
Males,13 years,Watch VCR movies,4 to 6 hours,Percent
Females,15 years,Watch VCR movies,1 to 3 hours,Percent
Males,11 years,Play computer games,Not at all,Percent
Females,15 years,Watch VCR movies,10 hours or more,Percent
Males,11 years,Play computer games,1 to 3 hours,Percent
Females,13 years,Play computer games,Less than 1 hour,Percent
Males,13 years,Play computer games,1 to 3 hours,Percent
Females,15 years,Watch VCR movies,Less than 1 hour,Percent
Females,11 years,Watch VCR movies,1 to 3 hours,Percent
Males,15 years,Watch VCR movies,1 to 3 hours,Percent
Females,13 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,1 to 3 hours,Percent
Females,13 years,Play computer games,10 hours or more,Percent
Females,11 years,Watch VCR movies,7 to 9 hours,Percent
Males,15 years,Play computer games,7 to 9 hours,Percent
Males,13 years,Play computer games,10 hours or more,Percent
Females,15 years,Play computer games,1 to 3 hours,Percent
Females,13 years,Play computer games,1 to 3 hours,Percent
Females,13 years,Play computer games,10 hours or more,Percent
Females,15 years,Watch VCR movies,4 to 6 hours,Percent
Males,11 years,Play computer games,4 to 6 hours,Percent
Males,11 years,Play computer games,4 to 6 hours,Percent
Males,13 years,Watch VCR movies,4 to 6 hours,Percent
Males,15 years,Play computer games,4 to 6 hours,Percent
Females,13 years,Watch VCR movies,Less than 1 hour,Percent
Males,15 years,Play computer games,Not at all,Percent
Females,11 years,Watch VCR movies,7 to 9 hours,Percent
Females,15 years,Play computer games,10 hours or more,Percent
Males,11 years,Play computer games,7 to 9 hours,Percent
Females,15 years,Play computer games,7 to 9 hours,Percent
Females,11 years,Play computer games,Not at all,Percent
Females,11 years,Play computer games,Not at all,Percent
Males,15 years,Watch VCR movies,Less than 1 hour,Percent
Males,11 years,Watch VCR movies,Not at all,Percent
Females,15 years,Play computer games,Less than 1 hour,Percent
Females,13 years,Watch VCR movies,Not at all,Percent
Females,11 years,Watch VCR movies,7 to 9 hours,Percent
Males,11 years,Watch VCR movies,Less than 1 hour,Percent
Males,15 years,Play computer games,Less than 1 hour,Percent
Males,13 years,Play computer games,10 hours or more,Percent
Females,15 years,Play computer games,Not at all,Percent
Males,11 years,Play computer games,10 hours or more,Percent
Females,15 years,Watch VCR movies,Not at all,Percent
Females,15 years,Play computer games,1 to 3 hours,Percent
Males,11 years,Watch VCR movies,1 to 3 hours,Percent
Females,11 years,Watch VCR movies,10 hours or more,Percent
Males,15 years,Watch VCR movies,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,1 to 3 hours,Percent
Males,11 years,Watch VCR movies,7 to 9 hours,Percent
Females,15 years,Play computer games,7 to 9 hours,Percent
Females,11 years,Watch VCR movies,1 to 3 hours,Percent
Males,11 years,Watch VCR movies,10 hours or more,Percent
Males,15 years,Play computer games,4 to 6 hours,Percent
Females,13 years,Play computer games,Not at all,Percent
Males,13 years,Watch VCR movies,10 hours or more,Percent
Males,13 years,Watch VCR movies,4 to 6 hours,Percent
Males,11 years,Play computer games,10 hours or more,Percent
Females,11 years,Play computer games,1 to 3 hours,Percent
Females,13 years,Watch VCR movies,Less than 1 hour,Percent
Females,13 years,Watch VCR movies,Less than 1 hour,Percent
Males,15 years,Watch VCR movies,10 hours or more,Percent
Females,15 years,Play computer games,4 to 6 hours,Percent
Males,11 years,Watch VCR movies,7 to 9 hours,Percent
Males,11 years,Watch VCR movies,7 to 9 hours,Percent
Males,11 years,Watch VCR movies,1 to 3 hours,Percent
Females,15 years,Play computer games,Not at all,Percent
Males,15 years,Watch VCR movies,7 to 9 hours,Percent
Males,13 years,Play computer games,1 to 3 hours,Percent
Females,11 years,Play computer games,7 to 9 hours,Percent
Females,15 years,Play computer games,1 to 3 hours,Percent
Females,15 years,Watch VCR movies,4 to 6 hours,Percent
Females,11 years,Watch VCR movies,7 to 9 hours,Percent
Males,11 years,Watch VCR movies,4 to 6 hours,Percent
Females,11 years,Play computer games,Less than 1 hour,Percent
Females,13 years,Play computer games,1 to 3 hours,Percent
Females,11 years,Watch VCR movies,1 to 3 hours,Percent
Males,11 years,Play computer games,1 to 3 hours,Percent
Males,13 years,Play computer games,10 hours or more,Percent
Males,13 years,Play computer games,7 to 9 hours,Percent
Females,13 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Play computer games,1 to 3 hours,Percent
Males,13 years,Play computer games,Less than 1 hour,Percent
Males,11 years,Watch VCR movies,Not at all,Percent
Females,13 years,Watch VCR movies,1 to 3 hours,Percent
Females,15 years,Play computer games,10 hours or more,Percent
Males,11 years,Play computer games,10 hours or more,Percent
Females,13 years,Watch VCR movies,Less than 1 hour,Percent
Females,15 years,Watch VCR movies,7 to 9 hours,Percent
Females,13 years,Watch VCR movies,Less than 1 hour,Percent
Males,11 years,Watch VCR movies,1 to 3 hours,Percent
Females,13 years,Watch VCR movies,4 to 6 hours,Percent
Females,15 years,Watch VCR movies,Not at all,Percent
Males,11 years,Watch VCR movies,Not at all,Percent
Males,11 years,Play computer games,10 hours or more,Percent
Females,13 years,Watch VCR movies,1 to 3 hours,Percent
Males,13 years,Play computer games,7 to 9 hours,Percent
Females,11 years,Watch VCR movies,4 to 6 hours,Percent
Males,13 years,Play computer games,10 hours or more,Percent
Females,11 years,Play computer games,10 hours or more,Percent
Females,13 years,Play computer games,Less than 1 hour,Percent
Males,13 years,Play computer games,1 to 3 hours,Percent
Males,13 years,Watch VCR movies,10 hours or more,Percent
Males,15 years,Play computer games,Not at all,Percent
Females,15 years,Play computer games,Less than 1 hour,Percent
Females,15 years,Play computer games,Less than 1 hour,Percent
Males,11 years,Watch VCR movies,1 to 3 hours,Percent
Males,11 years,Watch VCR movies,7 to 9 hours,Percent
Females,11 years,Watch VCR movies,1 to 3 hours,Percent
Females,11 years,Play computer games,Less than 1 hour,Percent
Males,13 years,Watch VCR movies,1 to 3 hours,Percent
Males,15 years,Play computer games,Less than 1 hour,Percent
Males,11 years,Watch VCR movies,7 to 9 hours,Percent
Females,15 years,Play computer games,4 to 6 hours,Percent
Females,15 years,Watch VCR movies,Less than 1 hour,Percent
Males,11 years,Watch VCR movies,7 to 9 hours,Percent
Females,15 years,Watch VCR movies,10 hours or more,Percent
Females,15 years,Watch VCR movies,4 to 6 hours,Percent
Females,15 years,Watch VCR movies,Less than 1 hour,Percent
Females,13 years,Watch VCR movies,10 hours or more,Percent
Females,11 years,Watch VCR movies,7 to 9 hours,Percent
Females,11 years,Play computer games,10 hours or more,Percent
Males,11 years,Watch VCR movies,4 to 6 hours,Percent
Females,11 years,Play computer games,4 to 6 hours,Percent
Females,11 years,Watch VCR movies,10 hours or more,Percent
Males,13 years,Play computer games,4 to 6 hours,Percent
Females,13 years,Watch VCR movies,10 hours or more,Percent
Females,15 years,Watch VCR movies,1 to 3 hours,Percent
Females,11 years,Play computer games,4 to 6 hours,Percent
Males,11 years,Play computer games,1 to 3 hours,Percent
Females,15 years,Play computer games,7 to 9 hours,Percent
Females,13 years,Play computer games,1 to 3 hours,Percent
Males,15 years,Watch VCR movies,Less than 1 hour,Percent
Males,15 years,Play computer games,4 to 6 hours,Percent
Males,11 years,Watch VCR movies,10 hours or more,Percent
Females,11 years,Play computer games,7 to 9 hours,Percent
Females,11 years,Watch VCR movies,Less than 1 hour,Percent
Males,13 years,Play computer games,7 to 9 hours,Percent
Males,13 years,Play computer games,10 hours or more,Percent
Females,13 years,Watch VCR movies,Not at all,Percent
Males,11 years,Watch VCR movies,7 to 9 hours,Percent
Males,13 years,Play computer games,1 to 3 hours,Percent
Females,11 years,Play computer games,1 to 3 hours,Percent
Females,15 years,Watch VCR movies,10 hours or more,Percent
Males,11 years,Watch VCR movies,Not at all,Percent
Males,11 years,Play computer games,1 to 3 hours,Percent
Females,15 years,Play computer games,7 to 9 hours,Percent
Males,11 years,Play computer games,4 to 6 hours,Percent
Females,11 years,Play computer games,1 to 3 hours,Percent
Females,13 years,Watch VCR movies,Less than 1 hour,Percent
Males,11 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,Not at all,Percent
Males,11 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Play computer games,4 to 6 hours,Percent
Females,13 years,Watch VCR movies,Not at all,Percent
Females,13 years,Watch VCR movies,1 to 3 hours,Percent
Females,13 years,Watch VCR movies,Less than 1 hour,Percent
Males,11 years,Play computer games,10 hours or more,Percent
Males,11 years,Watch VCR movies,Not at all,Percent
Males,15 years,Watch VCR movies,Less than 1 hour,Percent
Females,11 years,Watch VCR movies,7 to 9 hours,Percent
Males,15 years,Play computer games,Less than 1 hour,Percent
Females,13 years,Play computer games,Not at all,Percent
Females,13 years,Play computer games,7 to 9 hours,Percent
Females,15 years,Watch VCR movies,Less than 1 hour,Percent
Females,13 years,Play computer games,Less than 1 hour,Percent
Females,15 years,Play computer games,Not at all,Percent
Males,15 years,Play computer games,7 to 9 hours,Percent
Males,11 years,Play computer games,Not at all,Percent
Females,11 years,Watch VCR movies,7 to 9 hours,Percent
Females,15 years,Watch VCR movies,7 to 9 hours,Percent
Females,11 years,Watch VCR movies,Not at all,Percent
Females,11 years,Play computer games,Less than 1 hour,Percent
Males,11 years,Play computer games,10 hours or more,Percent
Males,11 years,Play computer games,7 to 9 hours,Percent
Males,11 years,Watch VCR movies,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,10 hours or more,Percent
Females,13 years,Play computer games,4 to 6 hours,Percent
Males,11 years,Play computer games,Not at all,Percent
Males,13 years,Play computer games,Not at all,Percent
Males,13 years,Watch VCR movies,4 to 6 hours,Percent
Males,13 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Play computer games,Less than 1 hour,Percent
Males,15 years,Play computer games,1 to 3 hours,Percent
Females,13 years,Watch VCR movies,1 to 3 hours,Percent
Females,13 years,Watch VCR movies,Not at all,Percent
Males,15 years,Play computer games,1 to 3 hours,Percent
Females,11 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,7 to 9 hours,Percent
Males,15 years,Play computer games,Not at all,Percent
Females,15 years,Play computer games,7 to 9 hours,Percent
Females,15 years,Watch VCR movies,Less than 1 hour,Percent
Females,13 years,Play computer games,1 to 3 hours,Percent
Males,13 years,Watch VCR movies,10 hours or more,Percent
Males,13 years,Watch VCR movies,10 hours or more,Percent
Females,11 years,Watch VCR movies,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,10 hours or more,Percent
Females,13 years,Watch VCR movies,Less than 1 hour,Percent
Males,15 years,Play computer games,10 hours or more,Percent
Males,11 years,Watch VCR movies,4 to 6 hours,Percent
Males,11 years,Watch VCR movies,4 to 6 hours,Percent
Females,15 years,Play computer games,10 hours or more,Percent
Females,11 years,Watch VCR movies,Less than 1 hour,Percent
Females,15 years,Watch VCR movies,10 hours or more,Percent
Males,11 years,Watch VCR movies,Not at all,Percent
Females,11 years,Play computer games,Not at all,Percent
Females,13 years,Watch VCR movies,Less than 1 hour,Percent
Females,13 years,Play computer games,Not at all,Percent
Males,13 years,Play computer games,Less than 1 hour,Percent
Females,15 years,Play computer games,10 hours or more,Percent
Females,11 years,Play computer games,4 to 6 hours,Percent
Males,11 years,Play computer games,10 hours or more,Percent
Males,13 years,Play computer games,Not at all,Percent
Females,15 years,Play computer games,Less than 1 hour,Percent
Males,15 years,Play computer games,10 hours or more,Percent
Males,13 years,Watch VCR movies,4 to 6 hours,Percent
Males,11 years,Watch VCR movies,10 hours or more,Percent
Males,15 years,Play computer games,Not at all,Percent
Females,13 years,Watch VCR movies,7 to 9 hours,Percent
Females,15 years,Watch VCR movies,4 to 6 hours,Percent
Males,15 years,Play computer games,4 to 6 hours,Percent
Females,15 years,Play computer games,1 to 3 hours,Percent
Males,13 years,Play computer games,10 hours or more,Percent
Males,13 years,Watch VCR movies,1 to 3 hours,Percent
Females,11 years,Play computer games,Not at all,Percent
Females,13 years,Play computer games,10 hours or more,Percent
Males,15 years,Watch VCR movies,4 to 6 hours,Percent
Females,15 years,Watch VCR movies,Less than 1 hour,Percent
Females,13 years,Watch VCR movies,1 to 3 hours,Percent
Females,11 years,Watch VCR movies,1 to 3 hours,Percent
Females,11 years,Watch VCR movies,Not at all,Percent
Females,15 years,Watch VCR movies,7 to 9 hours,Percent
Males,11 years,Play computer games,Less than 1 hour,Percent
Males,15 years,Watch VCR movies,Not at all,Percent
Males,13 years,Watch VCR movies,1 to 3 hours,Percent
Females,13 years,Watch VCR movies,Not at all,Percent
Females,11 years,Watch VCR movies,7 to 9 hours,Percent
Males,15 years,Watch VCR movies,1 to 3 hours,Percent
Females,15 years,Play computer games,10 hours or more,Percent
Females,11 years,Watch VCR movies,Not at all,Percent
Females,13 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,Less than 1 hour,Percent
Males,13 years,Watch VCR movies,7 to 9 hours,Percent
Males,11 years,Watch VCR movies,7 to 9 hours,Percent
Females,11 years,Watch VCR movies,Not at all,Percent
Females,15 years,Play computer games,4 to 6 hours,Percent
Females,13 years,Watch VCR movies,1 to 3 hours,Percent
Females,13 years,Watch VCR movies,10 hours or more,Percent
Females,11 years,Play computer games,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,7 to 9 hours,Percent
Males,11 years,Play computer games,1 to 3 hours,Percent
Males,15 years,Play computer games,1 to 3 hours,Percent
Females,15 years,Watch VCR movies,7 to 9 hours,Percent
Females,11 years,Watch VCR movies,Not at all,Percent
Males,13 years,Play computer games,10 hours or more,Percent
Females,13 years,Play computer games,4 to 6 hours,Percent
Females,11 years,Watch VCR movies,7 to 9 hours,Percent
Males,11 years,Play computer games,4 to 6 hours,Percent
Males,11 years,Watch VCR movies,7 to 9 hours,Percent
Males,15 years,Watch VCR movies,4 to 6 hours,Percent
Males,15 years,Watch VCR movies,7 to 9 hours,Percent
Females,13 years,Watch VCR movies,Not at all,Percent
Males,11 years,Play computer games,1 to 3 hours,Percent
Females,15 years,Play computer games,4 to 6 hours,Percent
Males,11 years,Play computer games,4 to 6 hours,Percent
Males,13 years,Watch VCR movies,1 to 3 hours,Percent
Males,11 years,Play computer games,Not at all,Percent
Males,15 years,Watch VCR movies,1 to 3 hours,Percent
Females,11 years,Watch VCR movies,7 to 9 hours,Percent
Females,11 years,Watch VCR movies,4 to 6 hours,Percent
Females,15 years,Play computer games,Not at all,Percent
Females,11 years,Play computer games,7 to 9 hours,Percent
Females,11 years,Watch VCR movies,4 to 6 hours,Percent
Females,11 years,Watch VCR movies,Not at all,Percent
Females,15 years,Watch VCR movies,10 hours or more,Percent
Males,11 years,Watch VCR movies,1 to 3 hours,Percent
Males,15 years,Play computer games,10 hours or more,Percent
Males,13 years,Play computer games,4 to 6 hours,Percent
Females,15 years,Play computer games,1 to 3 hours,Percent
Males,15 years,Watch VCR movies,10 hours or more,Percent
Males,13 years,Play computer games,7 to 9 hours,Percent
